year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1991,854.19995,2.346703,0,24.700003,-369.77002,-1.0158517,-34.747417,15.669251,45.1667,-109.5167
1941,676.1,1.8574175,0,19.099998,441.0669,1.2117223,-18.121996,20.296751,44.7,-118.55
1942,761.9,2.093132,0,24.6,260.0274,0.714361,-23.1845,19.419668,44.7,-118.55
1943,670.1,1.840934,0,26.4,372.90857,1.0244741,-26.594917,18.078,44.7,-118.55
1944,665,1.8219178,0,34,258.59918,0.7084909,-14.967832,18.3905,44.7,-118.55
1945,931.9,2.5531507,0,21.9,196.26172,0.53770334,-17.244917,18.361334,44.7,-118.55
1946,836.30005,2.2975276,0,29.000002,144.61914,0.39730534,-17.801165,20.623833,44.7,-118.55
1947,832,2.2857144,0,24.9,322.23575,0.885263,-19.859499,18.3655,44.7,-118.55
1948,1095.1001,3.0002742,0,31,310.29498,0.8501232,-17.71575,17.700918,44.7,-118.55
1949,731.89996,2.0107143,0,23.900002,633.61694,1.7407058,-21.286581,20.232168,44.7,-118.55
1950,1036,2.8461537,0,24.300001,419.36383,1.1520984,-23.416502,21.060583,44.7,-118.55
1951,894.10004,2.4563189,0,23.899998,529.72095,1.4552773,-24.41233,19.633501,44.7,-118.55
1952,759.5,2.080822,0,23.199999,687.2106,1.8827686,-17.291498,20.239748,44.7,-118.55
1953,1106.9,3.040934,0,26.1,736.8607,2.0243425,-15.1206665,19.923082,44.7,-118.55
1954,780.60004,2.1445055,0,22.9,622.68353,1.710669,-15.6831665,18.531416,44.7,-118.55
1955,999.7,2.7464285,0,21.2,40.820923,0.112145394,-26.535248,21.056417,44.7,-118.55
1956,978.2,2.68,0,32.600002,507.68787,1.3909256,-23.372751,20.266832,44.7,-118.55
1957,839.9,2.3074176,0,34,543.95013,1.4943686,-22.706087,18.100166,44.7,-118.55
1958,1011.19995,2.7780218,0,29.400002,1019.3334,2.8003664,-19.926918,19.562666,44.7,-118.55
1959,907.0001,2.4917586,0,25.600002,613.31274,1.6849251,-25.318586,21.450167,44.7,-118.55
1960,896.8,2.4569862,0,22.900002,529.4586,1.4505715,-18.604002,22.150164,44.7,-118.55
1961,936.1,2.5717032,0,25.099998,719.39795,1.976368,-22.19358,22.431414,44.7,-118.55
1962,851.1,2.3381867,0,32.3,549.90234,1.5107207,-25.631088,19.270998,44.7,-118.55
1963,859.7,2.3618133,0,29.7,812.0064,2.2307868,-27.30192,18.173082,44.7,-118.55
1964,962.10004,2.6358905,0,27.900003,313.75647,0.85960674,-16.004,19.352251,44.7,-118.55
1965,988.2,2.7148352,0,31.9,625.3355,1.7179548,-27.918581,19.13975,44.7,-118.55
1966,794.1,2.1815934,0,22.699999,724.4731,1.9903107,-16.239416,19.993916,44.7,-118.55
1967,850.69995,2.3370879,0,25.100004,925.225,2.541827,-12.74775,21.46475,44.7,-118.55
1968,902.10004,2.4715068,0,24.800001,535.615,1.4674383,-21.668587,21.010582,44.7,-118.55
1969,781,2.1456044,0,44.600002,603.4252,1.6577615,-19.67275,20.4335,44.7,-118.55
1970,997.8,2.7412088,0,21.100002,612.6481,1.6830992,-18.506084,20.950167,44.7,-118.55
1971,857.5,2.3557692,0,22.100002,394.88342,1.0848446,-19.714417,22.075165,44.7,-118.55
1972,935.69995,2.5635614,0,29.2,473.27747,1.2966506,-17.760252,21.720999,44.7,-118.55
1973,803.5,2.2074175,0,20.5,538.219,1.4786236,-28.056086,19.796001,44.7,-118.55
1974,868,2.3846154,0,22.9,774.6333,2.1281135,-21.545668,18.804335,44.7,-118.55
1975,1064.5,2.9244506,0,29.100002,241.36267,0.66308427,-17.318584,20.377249,44.7,-118.55
1976,846.1,2.318082,0,22.5,624.73773,1.7116102,-19.251917,18.037664,44.7,-118.55
1977,680.6,1.8697802,0,24.800001,748.1542,2.0553687,-18.993586,20.40433,44.7,-118.55
1978,927.60004,2.5483518,0,28.1,784.723,2.1558325,-17.474833,20.881414,44.7,-118.55
1979,797.7001,2.1914837,0,28.199999,626.5936,1.7214111,-26.781084,21.154333,44.7,-118.55
1980,811.19995,2.2224655,0,32.7,628.27954,1.7213138,-26.551918,21.32725,44.7,-118.55
1981,738,2.0274725,0,18.499998,1054.9502,2.8982148,-16.449833,20.766832,44.7,-118.55
1982,1091,2.9972527,0,31.799997,297.88348,0.8183612,-20.068584,19.312666,44.7,-118.55
1983,957.9,2.6315935,0,20.1,704.1521,1.9344838,-17.320665,20.606417,44.7,-118.55
1984,1049.1001,2.8742468,0,28.6,281.55652,0.7713877,-32.4165,19.450167,44.7,-118.55
1985,718.8,1.9747252,0,17.5,415.5376,1.1415868,-22.649832,21.298079,44.7,-118.55
1986,723.7,1.9881868,0,27.4,865.3606,2.3773642,-24.606087,19.968914,44.7,-118.55
1987,622.1,1.7090659,0,32.800003,1224.4523,3.36388,-19.616503,19.625166,44.7,-118.55
1988,735.6,2.0153425,0,20.1,1002.6814,2.7470722,-18.995667,20.716833,44.7,-118.55
1989,804.10004,2.2090662,0,22.999998,584.0189,1.6044476,-27.554,19.252249,44.7,-118.55
1990,733.69995,2.015659,0,22.500002,1058.9792,2.9092836,-18.216501,21.571001,44.7,-118.55
1991,745.5,2.0480769,0,30.1,612.8397,1.6836256,-33.081085,19.000166,44.7,-118.55
1941,1138.2,3.1269228,0,51.800003,-1611.5371,-4.4273,-19.666334,12.048249,37.92,-119.28
1942,872.60004,2.3972528,0,99.700005,-1330.8018,-3.6560488,-20.758001,12.023251,37.92,-119.28
1943,766.30005,2.1052198,0,102.4,-1010.0851,-2.774959,-19.82675,12.042,37.92,-119.28
1944,762.4,2.0887673,0,66.399994,-1353.3452,-3.7077951,-19.310083,13.59825,37.92,-119.28
1945,1002.9,2.7476714,0,75.9,-1398.3223,-3.8310199,-21.360083,13.5128355,37.92,-119.28
1946,746.19995,2.05,0,65.9,-1353.987,-3.7197447,-20.291334,12.958665,37.92,-119.28
1947,564.69995,1.5513735,0,29.3,-1514.8997,-4.1618123,-21.493416,11.59825,37.92,-119.28
1948,805.5,2.2068493,0,50.399998,-1184.6387,-3.2455854,-22.33925,11.389916,37.92,-119.28
1949,801.7001,2.2024727,0,51.4,-1055.86,-2.9007142,-27.266335,12.727414,37.92,-119.28
1950,1326.4,3.6439562,0,72.8,-260.6978,-0.7162028,-19.416834,14.812332,37.92,-119.28
1951,840.5,2.3090658,0,51.2,-261.85864,-0.7193919,-22.933496,14.291501,37.92,-119.28
1952,1443.6,3.9550683,0,82.399994,-570.7485,-1.5636945,-21.039753,12.706082,37.92,-119.28
1953,787.5,2.1634614,0,44.2,-510.97742,-1.4037842,-17.135586,12.7456665,37.92,-119.28
1954,913.4,2.5093408,0,71.299995,-13.142029,-0.036104474,-16.216837,14.618581,37.92,-119.28
1955,675.9,1.8568681,0,44.4,-558.39825,-1.5340612,-20.250168,14.187333,37.92,-119.28
1956,1144.3,3.1350687,0,80.90001,-498.7317,-1.3663882,-18.750168,11.793583,37.92,-119.28
1957,871.9,2.3953297,0,45.8,-661.5941,-1.8175663,-21.950165,12.566499,37.92,-119.28
1958,1293.3,3.5530221,0,85.30001,-215.53168,-0.59212,-21.043915,13.189416,37.92,-119.28
1959,771.60004,2.1197803,0,87.10001,189.0061,0.51924753,-18.408499,14.4748335,37.92,-119.28
1960,956.8,2.6213698,0,65.3,-292.76923,-0.80210745,-22.929337,14.543583,37.92,-119.28
1961,884.7,2.4304945,0,62.8,-357.26904,-0.9815084,-16.668917,13.779,37.92,-119.28
1962,883.3999,2.4269228,0,84.09999,-263.2232,-0.72314066,-20.648085,12.785251,37.92,-119.28
1963,1146.3,3.149176,0,90.2,-336.5586,-0.9246115,-15.466834,12.033166,37.92,-119.28
1964,647.4,1.7736987,0,44.700005,-557.67535,-1.5278777,-20.050169,14.983167,37.92,-119.28
1965,1400.3999,3.8472524,0,66.4,-570.9649,-1.5685849,-17.96475,11.628999,37.92,-119.28
1966,846.60004,2.3258243,0,74.70001,-200.37524,-0.55048144,-19.433502,14.758166,37.92,-119.28
1967,1181.7,3.2464285,0,62.3,-468.9544,-1.2883363,-17.814749,12.622748,37.92,-119.28
1968,722.4,1.9791782,0,38.9,-347.18787,-0.95119965,-24.754335,13.131084,37.92,-119.28
